Gene,Variant,Drug
GSTP1,rs1695,oxaliplatin
GSTP1,rs1695,docetaxel
GSTP1,rs1695,doxorubicin
GSTP1,rs1695,gemcitabine
GSTP1,rs1695,olanzapine
GSTP1,rs1695,fluorouracil
GSTP1,rs1695,leucovorin
GSTP1,rs1695,levamisole
GSTP1,rs1695,radiotherapy
GSTP1,rs1695,epirubicin
GSTP1,rs1695,fluorouracil
GSTP1,rs1695,oxaliplatin
GSTP1,rs1695,oxaliplatin
GSTP1,rs1695,cyclophosphamide
GSTP1,rs1695,epirubicin
GSTP1,rs1695,"Antivirals for treatment of HIV infections, combinations"
GSTP1,rs1695,fluorouracil
GSTP1,rs1695,irinotecan
GSTP1,rs1695,oxaliplatin
GSTP1,rs1695,cyclophosphamide
GSTP1,rs1695,doxorubicin
GSTP1,rs1695,fluorouracil
GSTP1,rs1695,carboplatin
GSTP1,rs1695,cisplatin
GSTP1,rs1695,gemcitabine
GSTP1,rs1695,olanzapine
GSTP1,rs1695,cyclophosphamide
GSTP1,rs1695,doxorubicin
ETV6,rs2724635,"Ace Inhibitors, Plain"
TENT4A,rs274713,gemcitabine
TENT4A,rs274717,gemcitabine
DGKB,rs1525085,antipsychotics
LATS2,rs558614,cetuximab
MYT1L,rs79663562,allopurinol
IGF1,rs7136446,tamoxifen
IGF1,rs2946834,tamoxifen
IGF1,rs6214,tamoxifen
DGCR5,rs1210638,Selective serotonin reuptake inhibitors
SULT1C4,rs1402467,docetaxel
SULT1C4,rs1402467,thalidomide
PIK3R1,rs10515074,everolimus
PIK3R1,rs10515074,everolimus
PIK3R1,rs3730089,egfr inhibitors
ESR2,rs944050,gemcitabine
ESR2,rs1256049,leflunomide
ESR2,rs4986938,leflunomide
ESR2,rs10140457,letrozole
ESR2,rs12435857,anastrozole
ESR2,rs12435857,letrozole
ESR2,rs1256031,anastrozole
ESR2,rs1256031,letrozole
ESR2,rs1256064,anastrozole
ESR2,rs1256064,letrozole
ESR2,rs4986938,anastrozole
ESR2,rs4986938,letrozole
ESR2,rs8017441,anastrozole
ESR2,rs8017441,letrozole
ESR2,rs1256061,anastrozole
ESR2,rs1256061,letrozole
ESR2,rs1256120,anastrozole
ESR2,rs1256120,letrozole
ESR2,rs10148269,anastrozole
ESR2,rs10148269,letrozole
ESR2,rs1952586,anastrozole
ESR2,rs1952586,letrozole
ESR2,rs3020445,anastrozole
ESR2,rs3020445,letrozole
ESR2,rs944459,anastrozole
ESR2,rs944459,letrozole
ESR2,rs1152580,anastrozole
ESR2,rs1152580,letrozole
ESR2,rs1256049,alendronate
ESR2,rs17179740,anastrozole
ESR2,rs17179740,letrozole
ESR2,rs4986938,tamoxifen
MOB3B,rs7046653,Tumor necrosis factor alpha (TNF-alpha) inhibitors
MOB3B,rs2814707,Tumor necrosis factor alpha (TNF-alpha) inhibitors
MOB3B,rs868856,Tumor necrosis factor alpha (TNF-alpha) inhibitors
NELL1,rs12279250,hydrochlorothiazide
PRKAG2,rs13224758,rivaroxaban
PRKAG2,rs12703159,rivaroxaban
PRKAG2,rs10224002,hydrochlorothiazide
PRKAG2,rs4725434,metformin
WIF1,rs10878232,Platinum compounds
GNAS,rs7121,cisplatin
GNAS,rs7121,fluorouracil
GNAS,rs7121,cisplatin
GNAS,rs7121,fluorouracil
GNAS,rs62205366,dobutamine
GNAS,rs62205366,dobutamine
ACOT7,rs11121611,corticosteroids
MDM2,rs2279744,Platinum compounds
MDM2,rs1690924,Platinum compounds
MDM2,rs1470383,Platinum compounds
MDM2,rs1690924,Platinum compounds
MDM2,rs2279744,Platinum compounds
IGF2,rs4244809,Platinum compounds
KRAS,rs112445441,cetuximab
KRAS,rs61764370,cetuximab
KRAS,rs61764370,panitumumab
KRAS,rs121913529,cetuximab
KRAS,rs112445441,cetuximab
KRAS,rs112445441,fluorouracil
KRAS,rs112445441,irinotecan
KRAS,rs112445441,oxaliplatin
KRAS,rs61764370,cetuximab
KRAS,rs61764370,panitumumab
KRAS,rs61764370,cetuximab
KRAS,rs61764370,panitumumab
KRAS,rs61764370,capecitabine
KRAS,rs61764370,cetuximab
KRAS,rs61764370,oxaliplatin
KRAS,rs61764370,cetuximab
KRAS,rs61764370,panitumumab
KRAS,rs61764370,cetuximab
KRAS,rs61764370,fluorouracil
KRAS,rs61764370,irinotecan
KRAS,rs112445441,cetuximab
KRAS,rs112445441,irinotecan
KRAS,rs112445441,cetuximab
KRAS,rs112445441,cetuximab
KRAS,rs112445441,cetuximab
KRAS,rs112445441,panitumumab
KRAS,rs112445441,cetuximab
KRAS,rs112445441,cetuximab
KRAS,rs112445441,panitumumab
CSK,rs1378942,Beta Blocking Agents
CSK,rs1378942,diltiazem
CSK,rs1378942,"Thiazides, plain"
CSK,rs1378942,hydrochlorothiazide
RABEP1,rs1000940,glucose
PPP3CA,rs3730251,tacrolimus
PPP3CA,rs3730251,tacrolimus
OPCML,rs751655,methylphenidate
ELP5,rs4562,methylphenidate
LEPR,rs1137101,olanzapine
LEPR,rs1137101,clozapine
LEPR,rs1137101,antipsychotics
LEPR,rs1137101,antipsychotics
LEPR,rs1805094,atorvastatin
LEPR,rs1137101,clozapine
LEPR,rs1137101,olanzapine
LEPR,rs1137101,quetiapine
LEPR,rs1137101,risperidone
LEPR,rs1137101,valproic acid
LEPR,rs1137101,simvastatin
LEPR,rs1137101,simvastatin
LEPR,rs1045895,apremilast
LEPR,rs1137101,valproic acid
LEPR,rs1137101,valproic acid
IL6ST,rs2228043,purine analogues
GABBR2,rs2779562,opioids
GABBR2,rs2304389,opioids
SLC16A5,rs4788863,cisplatin
SLC16A5,rs4788863,cisplatin
SRPRB,rs17376019,ethanol
SRPRB,rs17376019,acetaldehyde
NOC3L,rs12572897,clopidogrel
PPARA,rs4253778,atenolol
PPARA,rs4253778,Beta Blocking Agents
PPARA,rs4253778,carvedilol
PPARA,rs4253778,metoprolol
PPARA,rs4823613,tacrolimus
PPARA,rs4253728,tacrolimus
PPARA,rs4253728,tacrolimus
PPARA,rs4823613,simvastatin
PPARA,rs4253728,sirolimus
PPARA,rs4253728,2-hydroxyatorvastatin
PPARA,rs149711321,metformin
PPARA,rs4253728,tacrolimus
PPARA,rs4253728,cyclosporine
PPARA,rs4823613,cyclosporine
PPARA,rs4823613,lovastatin acid
PPARA,rs4823613,lovastatin
PPARA,rs4253728,tacrolimus
PPARA,rs4253728,simvastatin
PPARA,rs4253728,tacrolimus
PPARA,rs4823613,atorvastatin
PPARA,rs4253728,atorvastatin
PPARA,rs4823613,hmg coa reductase inhibitors
PPARA,rs4253728,hmg coa reductase inhibitors
PPARA,rs4823613,simvastatin
PPARA,rs4253728,tacrolimus
PPARA,rs1800206,fenofibrate
PPARA,rs4253778,fenofibrate
PPARA,rs1800206,fenofibrate
PPARA,rs1800234,clozapine
PPARA,rs4253728,risperidone
PPARA,rs4253728,simvastatin
PPARA,rs4823613,clopidogrel
PPARA,rs4253728,clopidogrel
PPARA,rs4253728,sirolimus
PPARA,rs9626730,fenofibrate
PPARA,rs135543,fenofibrate
PPARA,rs135550,fenofibrate
PPARA,rs4253728,sirolimus
PPARA,rs4823613,tacrolimus
PPARA,rs4253730,tacrolimus
PPARA,rs4253728,tacrolimus
PPARA,rs4253728,phenprocoumon
PPARA,rs9626736,fluorouracil
PPARA,rs9626736,irinotecan
PPARA,rs9626736,leucovorin
PPARA,rs1800234,chiglitazar
PPARA,rs4253728,alectinib
SLCO3A1,rs4294800,darunavir
SLCO3A1,rs1517618,efavirenz
SLCO3A1,rs1517618,lamivudine
SLCO3A1,rs1517618,nevirapine
SLCO3A1,rs1517618,zidovudine
SLCO3A1,rs8027174,darunavir
HUS1,rs2037483,mycophenolate mofetil
HUS1,rs1056663,mycophenolate mofetil
HTR4,rs4264931,opioids
HTR4,rs2068190,opioids
HTR4,rs1971431,opioids
HTR4,rs1862342,opioids
ERICH3,rs696692,serotonin
ERICH3,rs11580409,antidepressants
ERICH3,rs11580409,antidepressants
ERICH3,rs11580409,antidepressants
ERICH3,rs11580409,citalopram
ERICH3,rs11580409,escitalopram
CALCA,rs3781719,botulinum toxin type a
CALCA,rs145837941,fentanyl
CALCA,rs145837941,fentanyl
CALCA,rs145837941,fentanyl
CALCA,rs145837941,fentanyl
POLR3G,rs2562519,nevirapine
GABRB3,rs4906902,opioids
FTO,rs12595985,atenolol
FTO,rs9940629,atenolol
FTO,rs9939609,"interferon alfa-2a, recombinant"
FTO,rs9939609,"interferon alfa-2b, recombinant"
FTO,rs9939609,ribavirin
FTO,rs9937709,ethanol
FTO,rs16952570,azathioprine
FTO,rs16952570,mercaptopurine
FTO,rs16952570,azathioprine
FTO,rs16952570,mercaptopurine
FTO,rs16952570,mercaptopurine
FTO,rs79206939,azathioprine
FTO,rs79206939,mercaptopurine
FTO,rs16952570,azathioprine
FTO,rs16952570,mercaptopurine
FTO,rs4784333,hydrochlorothiazide
FTO,rs17817449,ethanol
FTO,rs6499640,risperidone
FTO,rs1421085,risperidone
FTO,rs1121980,risperidone
FTO,rs1421085,antipsychotics
FTO,rs8050136,antipsychotics
FTO,rs9930506,antipsychotics
FTO,rs9939609,antipsychotics
FTO,rs11075995,PD-1/PDL-1 (Programmed cell death protein 1/death ligand 1) inhibitors
FTO,rs12596638,PD-1/PDL-1 (Programmed cell death protein 1/death ligand 1) inhibitors
FTO,rs1125338,PD-1/PDL-1 (Programmed cell death protein 1/death ligand 1) inhibitors
NR1I2,rs2472677,rifampin
NR1I2,rs1523127,carboplatin
NR1I2,rs1523127,paclitaxel
NR1I2,rs2472677,rosuvastatin
NR1I2,rs6785049,tacrolimus
NR1I2,rs2276707,tacrolimus
NR1I2,rs12721616,rosuvastatin
NR1I2,rs2472677,atazanavir
NR1I2,rs1523130,atazanavir
NR1I2,rs2472677,tacrolimus
NR1I2,rs7643645,risperidone
NR1I2,rs1523130,ritonavir
NR1I2,rs6785049,ritonavir
NR1I2,rs2276707,tacrolimus
NR1I2,rs7643645,carbamazepine
NR1I2,rs2461817,carbamazepine
NR1I2,rs4688040,carbamazepine
NR1I2,rs3814055,flucloxacillin
NR1I2,rs1523127,efavirenz
NR1I2,rs1523127,nevirapine
NR1I2,rs1464602,midazolam
NR1I2,rs1464603,midazolam
NR1I2,rs12721613,midazolam
NR1I2,rs2472677,dolutegravir
NR1I2,rs10934498,irinotecan
NR1I2,rs2276707,sunitinib
NR1I2,rs3814055,sunitinib
NR1I2,rs7643645,risperidone
NR1I2,rs7643645,risperidone
NR1I2,rs2276707,sunitinib
NR1I2,rs2276707,sunitinib
NR1I2,rs16830505,fluorouracil
NR1I2,rs16830505,irinotecan
NR1I2,rs16830505,leucovorin
NR1I2,rs7643645,fluorouracil
NR1I2,rs7643645,irinotecan
NR1I2,rs7643645,leucovorin
NR1I2,rs1523130,carboplatin
NR1I2,rs1523130,paclitaxel
NR1I2,rs1523130,atazanavir
NR1I2,rs2472677,atazanavir
NR1I2,rs6785049,sunitinib
NR1I2,rs3814055,tacrolimus
NR1I2,rs3814055,tacrolimus
NR1I2,rs3814055,tacrolimus
NR1I2,rs6785049,tacrolimus
NR1I2,rs2276707,tacrolimus
NR1I2,rs3814055,temsirolimus
NR1I2,rs3842689,corticosteroids
NR1I2,rs2461817,etonogestrel
NR1I2,rs2472682,warfarin
NR1I2,rs2472677,atazanavir
NR1I2,rs2472677,atazanavir
NR1I2,rs2472677,ritonavir
NR1I2,rs1523130,nevirapine
NR1I2,rs3842689,nevirapine
NR1I2,rs3732359,docetaxel
NR1I2,rs3732360,docetaxel
NR1I2,rs3814058,docetaxel
NR1I2,rs2461817,lamotrigine
NR1I2,rs3814055,lamotrigine
NR1I2,rs2472677,atazanavir
NR1I2,rs3814057,adalimumab
NR1I2,rs3814055,tacrolimus
NR1I2,rs6785049,tacrolimus
NR1I2,rs3814057,tacrolimus
NR1I2,rs3732356,efavirenz
NR1I2,rs12721616,efavirenz
NR1I2,rs1464602,efavirenz
NR1I2,rs13059232,cyclophosphamide
NR1I2,rs3842689,tacrolimus
NR1I2,rs7643645,donepezil
NR1I2,rs1523130,donepezil
NR1I2,rs2472677,donepezil
NR1I2,rs7643645,risperidone
NR1I2,rs2276707,risperidone
NR1I2,rs2276706,repaglinide
NR1I2,rs2276706,repaglinide
NR1I2,rs3814058,repaglinide
NR1I2,rs7643038,methotrexate
NR1I2,rs3814055,methotrexate
NR1I2,rs2461817,voriconazole
NR1I2,rs7643645,voriconazole
NR1I2,rs3814057,voriconazole
NR1I2,rs6785049,methotrexate
NR1I2,rs6785049,voriconazole
NR1I2,rs3814055,temsirolimus
NR1I2,rs2472677,atazanavir
NR1I2,rs2472677,ritonavir
NR1I2,rs2276707,sunitinib
NR1I2,rs1523127,atazanavir
NR1I2,rs1523127,ritonavir
NR1I2,rs3814058,atazanavir
NR1I2,rs3814058,ritonavir
NR1I2,rs1523130,atazanavir
NR1I2,rs1523130,ritonavir
NR1I2,rs3732359,atazanavir
NR1I2,rs3732359,ritonavir
NR1I2,rs3732360,atazanavir
NR1I2,rs3732360,ritonavir
NR1I2,rs3814057,atazanavir
NR1I2,rs3814057,ritonavir
NR1I2,rs3814058,carbamazepine
NR1I2,rs2276707,carbamazepine
NR1I2,rs1523130,memantine
NR1I2,rs1054190,efavirenz
NR1I2,rs1054191,efavirenz
NR1I2,rs6785049,efavirenz
NR1I2,rs2472677,efavirenz
NR1I2,rs6785049,temsirolimus
NR1I2,rs3814058,methotrexate
NR1I2,rs6785049,methotrexate
NR1I2,rs2472677,sorafenib
NR1I2,rs3814055,sorafenib
NR1I2,rs10934498,sorafenib
NR1I2,rs3814055,cyclosporine
NR1I2,rs3814055,rifampin
NR1I2,rs3732360,efavirenz
NR1I2,rs3814057,efavirenz
NR1I2,rs3814055,carbamazepine
NR1I2,rs3814055,pazopanib
NR1I2,rs2276707,cyclosporine
NR1I2,rs2472677,nevirapine
NR1I2,rs3814058,repaglinide
NR1I2,rs2472677,risperidone
NR1I2,rs2472677,temsirolimus
NR1I2,rs6785049,sirolimus
NR1I2,rs6785049,temsirolimus
NR1I2,rs3814055,tacrolimus
NR1I2,rs2472677,efavirenz
NR1I2,rs6785049,efavirenz
NR1I2,rs3732359,voriconazole
NR1I2,rs2472677,atazanavir
NR1I2,rs2472677,efavirenz
NR1I2,rs2472677,ethambutol
NR1I2,rs2472677,isoniazid
NR1I2,rs2472677,rifampin
NR1I2,rs2472677,isoniazid
NR1I2,rs2472677,efavirenz
NR1I2,rs2472677,ethambutol
NR1I2,rs2472677,isoniazid
NR1I2,rs2472677,rifampin
NR1I2,rs6785049,afatinib
NR1I2,rs6785049,afatinib
NR1I2,rs3732357,rifampin
NR1I2,rs3732357,ethambutol
NR1I2,rs3732357,isoniazid / pyrazinamide / rifampin
NR1I2,rs1523130,risperidone
NR1I2,rs2276707,tacrolimus
NR1I2,rs2276707,cyclosporine
NR1I2,rs13059232,cyclophosphamide
NR1I2,rs3814055,tacrolimus
NR1I2,rs2276707,tacrolimus
NR1I2,rs3814057,dexmedetomidine
NR1I2,rs2472677,dolutegravir
NR1I2,rs2461817,midazolam
CYP7A1,rs3808607,atorvastatin
CYP7A1,rs3808607,atorvastatin
CYP7A1,rs3808607,atorvastatin
CYP7A1,rs3808607,atorvastatin
CTNNA2,rs11126740,Tumor necrosis factor alpha (TNF-alpha) inhibitors
HPGD,rs7349744,aspirin
TYMS,rs45445694,fluorouracil
TYMS,rs45445694,capecitabine
TYMS,rs45445694,azathioprine
TYMS,rs45445694,FOLFOX
TYMS,rs45445694,fluorouracil
TYMS,rs45445694,capecitabine
TYMS,rs45445694,platinum
TYMS,rs45445694,fluorouracil
TYMS,rs2853542,methotrexate
TYMS,rs11280056,fluorouracil
TYMS,rs11280056,leucovorin
TYMS,rs11280056,fluorouracil
TYMS,rs11280056,leucovorin
TYMS,rs45445694,fluorouracil
TYMS,rs11280056,capecitabine
TYMS,rs11280056,paclitaxel
TYMS,rs11280056,capecitabine
TYMS,rs11280056,fluorouracil
TYMS,rs11280056,bevacizumab
TYMS,rs11280056,capecitabine
TYMS,rs11280056,cisplatin
TYMS,rs11280056,docetaxel
TYMS,rs11280056,epirubicin
TYMS,rs11280056,oxaliplatin
TYMS,rs11280056,trastuzumab
TYMS,rs11280056,fluorouracil
TYMS,rs11280056,methotrexate
TYMS,rs11280056,methotrexate
TYMS,rs11280056,methotrexate
TYMS,rs11280056,carboplatin
TYMS,rs11280056,gemcitabine
TYMS,rs11280056,capecitabine
TYMS,rs11280056,fluorouracil
TYMS,rs45445694,fluorouracil
TYMS,rs45445694,mercaptopurine
TYMS,rs45445694,methotrexate
TYMS,rs3786362,risperidone
TYMS,rs45445694,cisplatin
TYMS,rs45445694,fluorouracil
TYMS,rs45445694,capecitabine
TYMS,rs45445694,fluorouracil
TYMS,rs45445694,FOLFOX
TYMS,rs45445694,XELOX
TYMS,rs45445694,capecitabine
TYMS,rs45445694,fluorouracil
TYMS,rs45445694,FOLFOX
TYMS,rs45445694,XELOX
TYMS,rs45445694,methotrexate
TYMS,rs45445694,methotrexate
TYMS,rs45445694,methotrexate
TYMS,rs45445694,asparaginase
TYMS,rs45445694,cytarabine
TYMS,rs45445694,daunorubicin
TYMS,rs45445694,etoposide
TYMS,rs45445694,mercaptopurine
TYMS,rs45445694,methotrexate
TYMS,rs45445694,prednisone
TYMS,rs45445694,vincristine
TYMS,rs45445694,methotrexate
TYMS,rs45445694,fluorouracil
TYMS,rs11280056,methotrexate
TYMS,rs11280056,methotrexate
TYMS,rs45445694,methotrexate
TYMS,rs45445694,methotrexate
TYMS,rs45445694,methotrexate
TYMS,rs11280056,antineoplastic agents
TYMS,rs2853539,antineoplastic agents
TYMS,rs45445694,fluorouracil
TYMS,rs2853542,capecitabine
TYMS,rs2853542,fluorouracil
TYMS,rs45445694,fluorouracil
TYMS,rs11280056,methotrexate
TYMS,rs11280056,methotrexate
TYMS,rs2847153,fluorouracil
TYMS,rs45445694,fluorouracil
TYMS,rs45445694,methotrexate
TYMS,rs45445694,methotrexate
TYMS,rs45445694,fluorouracil
TYMS,rs45445694,fluorouracil
TYMS,rs45445694,leucovorin
TYMS,rs45445694,capecitabine
TYMS,rs45445694,fluorouracil
TYMS,rs2853539,methotrexate
TYMS,rs45445694,methotrexate
TYMS,rs45445694,methotrexate
TYMS,rs45445694,fluorouracil
TYMS,rs45445694,cisplatin
TYMS,rs45445694,cyclophosphamide
TYMS,rs45445694,dactinomycin
TYMS,rs45445694,doxorubicin
TYMS,rs45445694,methotrexate
TYMS,rs45445694,vincristine
TYMS,rs45445694,methotrexate
TYMS,rs45445694,methotrexate
TYMS,rs2847153,methotrexate
TYMS,rs2244500,methotrexate
TYMS,rs45445694,methotrexate
TYMS,rs45445694,capecitabine
TYMS,rs45445694,fluorouracil
TYMS,rs11280056,methotrexate
TYMS,rs45445694,methotrexate
TYMS,rs45445694,capecitabine
TYMS,rs45445694,folic acid
TYMS,rs45445694,hydroxychloroquine
TYMS,rs45445694,methotrexate
TYMS,rs45445694,sulfasalazine
TYMS,rs45445694,capecitabine
TYMS,rs45445694,fluorouracil
TYMS,rs45445694,capecitabine
TYMS,rs45445694,fluorouracil
TYMS,rs45445694,fluorouracil
TYMS,rs45445694,fluorouracil
TYMS,rs45445694,mercaptopurine
TYMS,rs45445694,methotrexate
TYMS,rs45445694,fluorouracil
TYMS,rs11280056,folic acid
TYMS,rs11280056,hydroxychloroquine
TYMS,rs11280056,methotrexate
TYMS,rs11280056,sulfasalazine
TYMS,rs11280056,capecitabine
TYMS,rs11280056,fluorouracil
TYMS,rs11280056,bevacizumab
TYMS,rs11280056,capecitabine
TYMS,rs11280056,cisplatin
TYMS,rs11280056,docetaxel
TYMS,rs11280056,epirubicin
TYMS,rs11280056,oxaliplatin
TYMS,rs11280056,trastuzumab
TYMS,rs11280056,fluorouracil
TYMS,rs11280056,leucovorin
TYMS,rs11280056,oxaliplatin
TYMS,rs11280056,fluorouracil
TYMS,rs45445694,fluorouracil
TYMS,rs45445694,gemcitabine
TYMS,rs45445694,gemcitabine
TYMS,rs45445694,cyclophosphamide
TYMS,rs45445694,doxorubicin
TYMS,rs45445694,fluorouracil
TYMS,rs45445694,capecitabine
TYMS,rs45445694,raltitrexed
TYMS,rs45445694,fluorouracil
TYMS,rs45445694,leucovorin
TYMS,rs45445694,oxaliplatin
TYMS,rs11280056,azacitidine
TYMS,rs183205964,capecitabine
TYMS,rs183205964,fluorouracil
TYMS,rs183205964,tegafur
TYMS,rs45445694,irinotecan
TYMS,rs45445694,fluorouracil
TYMS,rs45445694,FOLFIRI
TYMS,rs45445694,methotrexate
TYMS,rs45445694,fluorouracil
TYMS,rs45445694,FOLFOX
TYMS,rs45445694,fluorouracil
TYMS,rs45445694,fluorouracil
TYMS,rs45445694,methotrexate
TYMS,rs699517,capecitabine
TYMS,rs11280056,FOLFOX
TYMS,rs11280056,methotrexate
TYMS,rs45445694,FOLFOX
TYMS,rs45445694,bevacizumab
TYMS,rs45445694,capecitabine
TYMS,rs45445694,cisplatin
TYMS,rs45445694,docetaxel
TYMS,rs45445694,epirubicin
TYMS,rs45445694,oxaliplatin
TYMS,rs45445694,trastuzumab
TYMS,rs45445694,capecitabine
TYMS,rs45445694,paclitaxel
TYMS,rs45445694,capecitabine
TYMS,rs45445694,paclitaxel
TYMS,rs699517,capecitabine
TYMS,rs45445694,cisplatin
TYMS,rs45445694,epirubicin
TYMS,rs45445694,fluorouracil
TYMS,rs45445694,fluorouracil
TYMS,rs45445694,leucovorin
TYMS,rs45445694,oxaliplatin
TYMS,rs45445694,capecitabine
TYMS,rs45445694,capecitabine
TYMS,rs45445694,cyclophosphamide
TYMS,rs45445694,fluorouracil
TYMS,rs45445694,tegafur
TYMS,rs45445694,methotrexate
TYMS,rs45445694,methotrexate
TYMS,rs45445694,irinotecan
TYMS,rs45445694,raltitrexed
TYMS,rs45445694,gemcitabine
TYMS,rs45445694,methotrexate
TYMS,rs45445694,methotrexate
TYMS,rs45445694,leucovorin
TYMS,rs45445694,tegafur
TYMS,rs45445694,carboplatin
TYMS,rs45445694,pemetrexed
TYMS,rs45445694,carboplatin
TYMS,rs45445694,cisplatin
TYMS,rs45445694,docetaxel
TYMS,rs45445694,gemcitabine
TYMS,rs45445694,paclitaxel
TYMS,rs45445694,vinorelbine
TYMS,rs699517,methotrexate
TYMS,rs45445694,methotrexate
TYMS,rs2853741,capecitabine
TYMS,rs11280056,methotrexate
TYMS,rs11280056,pemetrexed
TYMS,rs11280056,methotrexate
TYMS,rs45445694,gemcitabine
TYMS,rs45445694,bevacizumab
TYMS,rs45445694,capecitabine
TYMS,rs45445694,cisplatin
TYMS,rs45445694,docetaxel
TYMS,rs45445694,epirubicin
TYMS,rs45445694,oxaliplatin
TYMS,rs45445694,trastuzumab
TYMS,rs11280056,cisplatin
TYMS,rs11280056,docetaxel
TYMS,rs11280056,fluorouracil
TYMS,rs11280056,XELOX
TYMS,rs11280056,FOLFIRI
TYMS,rs11280056,FOLFOX
TYMS,rs11280056,XELOX
TYMS,rs45445694,methotrexate
TYMS,rs45445694,cisplatin
TYMS,rs45445694,epirubicin
TYMS,rs45445694,fluorouracil
TYMS,rs45445694,cisplatin
TYMS,rs45445694,epirubicin
TYMS,rs45445694,fluorouracil
TYMS,rs45445694,fluorouracil
TYMS,rs45445694,leucovorin
TYMS,rs45445694,fluorouracil
TYMS,rs45445694,leucovorin
TYMS,rs11280056,capecitabine
TYMS,rs45445694,capecitabine
TYMS,rs45445694,fluorouracil
TYMS,rs45445694,leucovorin
TYMS,rs45445694,oxaliplatin
TYMS,rs45445694,methotrexate
TYMS,rs11280056,fluorouracil
TYMS,rs11280056,fluorouracil
TYMS,rs11280056,irinotecan
TYMS,rs11280056,leucovorin
CTNNB1,rs4533622,thalidomide
CTNNB1,rs4135385,cyclophosphamide
CTNNB1,rs4135385,dexamethasone
CTNNB1,rs4135385,thalidomide
CTNNB1,rs4135385,lenalidomide
CTNNB1,rs4533622,lenalidomide
IL1B,rs16944,sufentanil
IL1B,rs1143634,pantoprazole
IL1B,rs1143634,infliximab
IL1B,rs1143627,aspirin
IL1B,rs16944,tacrolimus
IL1B,rs4848306,Tumor necrosis factor alpha (TNF-alpha) inhibitors
IL1B,rs16944,Bisphosphonates
IL1B,rs16944,lansoprazole
IL1B,rs16944,omeprazole
IL1B,rs16944,rabeprazole
IL1B,rs16944,lansoprazole
IL1B,rs16944,omeprazole
IL1B,rs16944,rabeprazole
IL1B,rs16944,lansoprazole
IL1B,rs16944,omeprazole
IL1B,rs16944,rabeprazole
IL1B,rs16944,omeprazole
IL1B,rs16944,rabeprazole
IL1B,rs1143634,omeprazole
IL1B,rs1143634,rabeprazole
IL1B,rs1143623,metformin
IL1B,rs1143623,Tumor necrosis factor alpha (TNF-alpha) inhibitors
IL1B,rs1143623,ustekinumab
IL1B,rs1143627,Tumor necrosis factor alpha (TNF-alpha) inhibitors
IL1B,rs1143627,ustekinumab
IL1B,rs1143634,infliximab
IL1B,rs16944,antipsychotics
IL1B,rs1143634,antipsychotics
IL1B,rs4849127,antipsychotics
IL1B,rs12621220,Platinum compounds
IL1B,rs1143623,Platinum compounds
IL1B,rs16944,Platinum compounds
IL1B,rs16944,pravastatin
IL1B,rs16944,pravastatin
IL1B,rs16944,pravastatin
IL1B,rs1143634,opioids
IL1B,rs1143634,morphine
IL1B,rs1143634,morphine
IL1B,rs1143634,aspirin
IL1B,rs1143634,diclofenac
IL1B,rs1143634,ibuprofen
IL1B,rs1143634,indomethacin
IL1B,rs1143634,ketorolac
IL1B,rs1143634,naproxen
IL1B,rs16944,aspirin
IL1B,rs16944,diclofenac
IL1B,rs16944,ibuprofen
IL1B,rs16944,indomethacin
IL1B,rs16944,ketorolac
IL1B,rs16944,naproxen
IL1B,rs16944,almotriptan
IL1B,rs16944,eletriptan
IL1B,rs16944,frovatriptan
IL1B,rs16944,rizatriptan
IL1B,rs16944,sumatriptan
IL1B,rs16944,zolmitriptan
IL1B,rs1143634,almotriptan
IL1B,rs1143634,eletriptan
IL1B,rs1143634,frovatriptan
IL1B,rs1143634,rizatriptan
IL1B,rs1143634,sumatriptan
IL1B,rs1143634,zolmitriptan
CLEC2D,rs1560011,tocilizumab
SERPINA1,rs28929474,elexacaftor / tezacaftor / ivacaftor
FAM178B,rs6728642,lithium
DLGAP1,rs8092654,anastrozole
DLGAP1,rs8092654,exemestane
DLGAP1,rs281018,pravastatin
OSMR,rs74378198,Selective serotonin reuptake inhibitors
OSMR,rs1239344,radiotherapy
GRIN3A,rs10121600,nicotine
GRIN3A,rs11788456,nicotine
GRIN3A,rs17189632,nicotine
GRIN3A,rs3983721,methadone
GRIN3A,rs1983812,methadone
GRIN3A,rs7030238,methadone
GRIN3A,rs10512285,methadone
GRIN3A,rs942142,methadone
TUT7,rs17461620,peginterferon alfa-2b
TUT7,rs17461620,ribavirin
PTGIR,rs1126510,aspirin
GRM7,rs3792452,methylphenidate
GRM7,rs2069062,risperidone
GRM7,rs3792452,methylphenidate
MLLT3,rs10964552,cisplatin
MLLT3,rs6475448,montelukast
GRIK2,rs2518224,citalopram
SOCS3,rs4969170,peginterferon alfa-2a
SOCS3,rs4969170,peginterferon alfa-2b
SOCS3,rs4969170,ribavirin
TRIB1,rs4351379,VEGF/VEGFR (Vascular Endothelial Growth Factor) inhibitors
GAL,rs948854,antidepressants
GAL,rs948854,benzodiazepine derivatives
GAL,rs948854,mirtazapine
GAL,rs948854,Selective serotonin reuptake inhibitors
GAL,rs948854,opioids
GAL,rs694066,heroin
RBFOX3,rs56044629,"Ace Inhibitors, Plain"
RBFOX3,rs62063838,"Ace Inhibitors, Plain"
RBFOX3,rs2061538,"Ace Inhibitors, Plain"
